,alias,name,url,categories,latitude,longitude,address,zip_code,price,rating,review_count
0,le-sud-paris,Le Sud,https://www.yelp.com/biz/le-sud-paris,french,48.878948,2.284763,91 boulevard Gouvion Saint Cyr,75017,3,3.5,124.0
1,le-dome-paris-13,Le Dome,https://www.yelp.com/biz/le-dome-paris-13,"bars, cafes",48.88163,2.31576,4 avenue des Villiers,75017,4,3.0,64.0
2,la-romantica-clichy,La Romantica,https://www.yelp.com/biz/la-romantica-clichy,italian,48.901545669902,2.3048312204654,73 bd Jean Jaurès,92110,4,3.5,64.0
3,le-durand-dupont-neuilly-sur-seine,Le Durand Dupont,https://www.yelp.com/biz/le-durand-dupont-neuilly-sur-seine,"bars, french",48.88075,2.2755899,14 place du Marché,92200,3,3.0,61.0
4,schwartzs-deli-paris-5,Schwartz's Deli,https://www.yelp.com/biz/schwartzs-deli-paris-5,"tradamerican, burgers",48.8804503599318,2.29542561320034,22 avenue Niel,75017,2,4.0,52.0
5,le-petit-villiers-paris-2,Le Petit Villiers,https://www.yelp.com/biz/le-petit-villiers-paris-2,french,48.8838078,2.3047215,75 avenue de Villiers,75017,2,3.5,51.0
6,un-air-de-famille-paris-2,Un Air de famille,https://www.yelp.com/biz/un-air-de-famille-paris-2,french,48.88229,2.31587,118 rue des Dames,75017,2,3.5,50.0
7,oresto-paris-3,Oresto,https://www.yelp.com/biz/oresto-paris-3,"french, bars, modern_european",48.881586,2.286145,55 boulevard Gouvion Saint-Cyr,75017,2,3.5,50.0
8,le-ballon-des-ternes-paris-2,Le Ballon des Ternes,https://www.yelp.com/biz/le-ballon-des-ternes-paris-2,french,48.880597630898,2.2854221949609,103 avenue Ternes,75017,3,3.5,47.0
9,l-entredgeu-paris,L'Entredgeu,https://www.yelp.com/biz/l-entredgeu-paris,french,48.8848,2.29143,83 Rue Laugier,75017,3,3.5,47.0
10,la-casa-di-sergio-paris,La Casa di Sergio,https://www.yelp.com/biz/la-casa-di-sergio-paris,italian,48.879607702443,2.2893595989498,77 ave Ternes,75017,3,4.0,44.0
11,maison-rostang-paris,Maison Rostang,https://www.yelp.com/biz/maison-rostang-paris,french,48.8814136,2.2984913,20 rue Rennequin,75017,4,4.5,44.0
12,le-dada-paris,Le Dada,https://www.yelp.com/biz/le-dada-paris,"brasseries, french",48.878514295181,2.2955943023642,12 avenue des Ternes,75017,2,3.0,44.0
